Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   65
Resultsets: 25
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       11/23/14 2:26 AM


Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],'',[21],'',[22],'',[23],'',[24],'',[25],''
5.1-type-sibsp-deck-nofbp,81.98,82.10,' ',78.90,*,80.48,' ',82.17,' ',82.17,' ',80.45,' ',81.08,' ',81.36,' ',81.30,' ',82.42,' ',78.79,*,78.63,*,78.79,*,80.70,' ',78.81,*,79.19,*,79.94,' ',79.99,' ',79.94,' ',73.81,*,80.93,' ',80.93,' ',80.93,' ',81.65,' '
5.2-type-fbp-sibsp-deck-n,80.48,82.88,v,78.90,' ',81.43,' ',80.85,' ',80.90,' ',80.81,' ',82.00,' ',80.78,' ',81.29,' ',83.03,v,78.79,' ',78.77,' ',78.79,' ',78.89,' ',78.91,' ',75.65,*,77.23,*,77.15,*,77.23,*,77.52,' ',80.30,' ',80.30,' ',80.30,' ',80.79,' '
5.3-type-sibsp-deck-noemb,79.53,80.31,' ',78.90,' ',79.01,' ',79.62,' ',79.62,' ',79.47,' ',80.30,' ',80.48,' ',79.46,' ',79.93,' ',78.79,' ',78.79,' ',78.79,' ',78.82,' ',78.82,' ',79.80,' ',79.99,' ',79.99,' ',79.99,' ',73.65,' ',80.30,' ',80.30,' ',80.30,' ',80.58,' '
5.4-type-fbp-sibsp-deck-n,81.44,82.77,' ',78.90,*,81.00,' ',81.93,' ',81.95,' ',80.93,' ',80.83,' ',80.05,' ',81.20,' ',82.60,' ',78.79,*,78.68,*,78.79,*,77.41,*,78.84,*,76.74,*,77.05,*,77.07,*,77.05,*,76.31,*,79.16,*,79.16,*,79.16,*,79.65,' '
5.5-type-sibsp-deck-nofbp,81.67,82.26,' ',78.90,*,81.53,' ',81.96,' ',81.96,' ',80.16,' ',82.14,' ',82.13,' ',81.45,' ',81.94,' ',78.79,*,78.68,*,78.79,*,78.81,*,78.81,*,79.45,*,79.62,' ',79.62,' ',79.62,' ',73.39,*,81.52,' ',81.52,' ',81.52,' ',82.18,' '
5.6-type-fbp-sibsp-deck-n,80.48,82.88,v,78.90,' ',81.43,' ',80.85,' ',80.90,' ',80.81,' ',82.00,' ',80.78,' ',81.29,' ',83.03,v,78.79,' ',78.77,' ',78.79,' ',78.89,' ',78.91,' ',75.65,*,77.23,*,77.15,*,77.23,*,77.52,' ',80.30,' ',80.30,' ',80.30,' ',80.79,' '
5.7-type-sibsp-deck-noemb,80.10,81.10,' ',78.90,' ',81.18,' ',81.06,' ',81.07,' ',80.15,' ',80.83,' ',80.94,' ',80.09,' ',81.75,v,78.79,' ',78.79,' ',78.79,' ',80.63,' ',78.86,' ',79.49,' ',79.75,' ',79.75,' ',79.75,' ',74.49,' ',80.75,' ',80.75,' ',80.75,' ',80.54,' '
2.4-type2,82.48,81.47,' ',78.79,*,82.55,' ',82.71,' ',82.71,' ',82.01,' ',81.28,' ',81.08,' ',82.12,' ',82.00,' ',82.01,' ',81.96,' ',81.92,' ',82.94,' ',81.52,' ',79.48,*,80.09,*,79.79,*,80.09,*,75.93,*,81.10,' ',81.10,' ',81.10,' ',82.64,' '
2.5-type2-noembarked,81.56,81.74,' ',78.79,*,82.83,' ',82.30,' ',82.30,' ',81.36,' ',80.61,' ',80.75,' ',81.44,' ',81.92,' ',81.98,' ',81.87,' ',81.84,' ',82.81,' ',80.79,' ',79.79,' ',80.08,' ',80.12,' ',80.08,' ',75.05,*,80.79,' ',80.79,' ',80.79,' ',80.57,' '
2.6-type2-nosibsp-noparch,82.19,82.08,' ',78.79,*,82.12,' ',82.18,' ',82.18,' ',81.55,' ',82.22,' ',82.18,' ',81.54,' ',82.05,' ',78.72,*,78.61,*,78.72,*,80.00,*,80.00,*,79.95,*,79.92,*,79.92,*,79.92,*,74.30,*,82.07,' ',82.07,' ',82.07,' ',82.20,' '
2.7-type2-nosibsp-noparch,78.98,79.60,' ',78.79,' ',79.19,' ',78.89,' ',78.89,' ',80.05,v,79.45,' ',79.38,' ',79.24,' ',78.79,' ',78.72,' ',78.72,' ',78.72,' ',78.91,' ',78.91,' ',80.36,v,80.36,v,80.36,v,80.36,v,74.10,' ',79.27,' ',79.27,' ',79.27,' ',79.91,' '
2.8-type2-noparch,82.68,81.84,' ',78.79,*,82.74,' ',82.62,' ',82.62,' ',82.12,' ',81.59,' ',81.62,' ',82.12,' ',82.30,' ',81.98,' ',81.82,' ',81.93,' ',82.35,' ',81.34,' ',79.95,*,80.43,*,79.73,*,80.43,*,75.68,*,81.62,' ',81.62,' ',81.62,' ',82.47,' '
3.1-type2-company,81.71,81.38,' ',78.79,*,81.37,' ',81.95,' ',81.95,' ',81.06,' ',81.36,' ',81.30,' ',81.12,' ',81.93,' ',78.72,*,78.61,*,78.72,*,81.61,' ',81.61,' ',79.03,*,79.00,*,79.00,*,79.00,*,73.80,*,81.16,' ',81.16,' ',81.16,' ',81.42,' '
3.3-type2-company-noembar,81.71,81.66,' ',78.79,*,81.62,' ',81.46,' ',81.46,' ',81.47,' ',81.76,' ',81.80,' ',80.66,' ',81.66,' ',78.72,*,78.72,*,78.72,*,80.97,' ',80.97,' ',77.56,*,77.60,*,77.60,*,77.60,*,73.64,*,81.74,' ',81.74,' ',81.74,' ',80.06,' '
4.1-type2-sibsp,82.89,82.35,' ',78.79,*,82.00,' ',83.13,' ',83.13,' ',82.87,' ',82.41,' ',82.73,' ',82.54,' ',82.09,' ',81.82,' ',81.82,' ',81.82,' ',82.44,' ',81.82,' ',79.53,*,79.54,*,79.52,*,79.54,*,75.51,*,82.57,' ',82.57,' ',82.57,' ',82.30,' '
4.3-type2-sibsp-noembarke,81.91,82.11,' ',78.79,*,82.53,' ',81.86,' ',81.93,' ',81.93,' ',82.20,' ',82.04,' ',82.06,' ',82.09,' ',81.82,' ',81.82,' ',81.82,' ',82.30,' ',81.82,' ',79.72,*,79.60,*,79.61,*,79.60,*,76.05,' ',82.03,' ',82.03,' ',82.03,' ',80.52,' '
4.4-type2-sibsp-noparch,83.23,82.76,' ',78.79,*,82.75,' ',82.96,' ',82.96,' ',82.48,' ',83.03,' ',82.83,' ',82.57,' ',82.78,' ',81.82,' ',81.82,' ',81.82,' ',81.82,' ',81.82,' ',79.87,*,79.87,*,79.87,*,79.87,*,75.50,*,82.67,' ',82.67,' ',82.67,' ',82.23,' '
4.5-type2-sibsp-noparch-n,81.34,81.82,' ',78.79,*,81.94,' ',80.59,' ',80.65,' ',80.78,' ',81.30,' ',80.98,' ',81.19,' ',81.64,' ',81.82,' ',81.82,' ',81.82,' ',81.82,' ',81.82,' ',80.02,' ',80.02,' ',80.02,' ',80.02,' ',75.68,' ',80.87,' ',80.87,' ',80.87,' ',79.91,' '
